id,title,x_pos,y_pos,width,height,shape,creator,num,comment,timestamp,modifiable,CAM
24865,Verspätung durch Dritte ,713.242,362.73,160.0,120.0,negative strong,827,11.0,,12:03:11,1,1591
24862,Wohlbefinden,187.0,20.0,160.0,120.0,positive weak,827,10.0,,,1,1591
24836,Unfälle,292.0,394.0,160.0,120.0,negative strong,827,9.0,,11:59:10,1,1591
24806,Kosten-Nutzen-Verhältnis,485.0,397.0,160.0,120.0,positive,827,7.0,,11:56:38,1,1591
24814,Nervige Mitfahrer,618.0,96.0,160.0,120.0,negative,827,8.0,,11:56:30,1,1591
24801,Freiheit,42.0,81.0,158.0,118.0,positive,827,6.0,,11:56:02,1,1591
24799,Schnelle Erreichbarkeit,51.0,376.0,160.0,120.0,positive,827,5.0,,11:55:39,1,1591
24797,Umwelt,350.0,53.0,160.0,120.0,positive,827,4.0,,11:56:42,1,1591
24771,Öffentliche Verkehrsmittel,566.0,225.0,160.0,120.0,neutral,827,2.0,,11:53:36,1,1591
24769,PKW,207.0,220.0,154.0,115.0,neutral,827,1.0,,,1,1591
